epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
52,4665.55,1.54273,1.02603,0.90514,0.52345,0.66922,0.56252,0.28197,1.66172,1.05825,0.91088,0.0004951,0.0004951,0.0004951
53,4754.58,1.54911,1.02922,0.90699,0.51207,0.73506,0.58109,0.28011,1.68734,1.06094,0.91463,0.0004852,0.0004852,0.0004852
54,4843.41,1.51356,1.01678,0.90245,0.51828,0.69484,0.57091,0.2826,1.64804,1.05077,0.90904,0.0004753,0.0004753,0.0004753
55,4932.34,1.54031,1.01681,0.90896,0.52618,0.72085,0.58763,0.29763,1.66502,1.04144,0.91085,0.0004654,0.0004654,0.0004654
56,5021.27,1.53299,0.98833,0.90906,0.61599,0.63809,0.57965,0.27659,1.73916,1.05528,0.92238,0.0004555,0.0004555,0.0004555
57,5110.36,1.51325,1.01419,0.90587,0.49628,0.67162,0.54875,0.2827,1.57793,1.03019,0.89877,0.0004456,0.0004456,0.0004456
58,5199.33,1.52576,1.00435,0.90971,0.53808,0.65638,0.59496,0.30086,1.59295,1.04274,0.90014,0.0004357,0.0004357,0.0004357
59,5288.23,1.51621,1.01345,0.90624,0.51567,0.64561,0.57391,0.29265,1.55704,1.0379,0.89509,0.0004258,0.0004258,0.0004258
60,5377.1,1.51674,0.99456,0.90584,0.47898,0.64641,0.56089,0.27982,1.59282,1.05636,0.90211,0.0004159,0.0004159,0.0004159
61,5466,1.51479,1.01131,0.90904,0.46776,0.69017,0.58355,0.29111,1.59042,1.04008,0.89931,0.000406,0.000406,0.000406
62,5554.89,1.50194,0.98246,0.90068,0.49767,0.68261,0.564,0.26321,1.68926,1.06853,0.91445,0.0003961,0.0003961,0.0003961
63,5643.83,1.49869,0.98997,0.90277,0.46448,0.69064,0.58239,0.28056,1.72772,1.03827,0.91831,0.0003862,0.0003862,0.0003862
64,5732.98,1.50114,0.99061,0.90266,0.4749,0.69352,0.54535,0.27482,1.56755,1.05207,0.89636,0.0003763,0.0003763,0.0003763
65,5822.27,1.49258,0.97947,0.90047,0.47384,0.70823,0.57348,0.28499,1.65538,1.03199,0.90829,0.0003664,0.0003664,0.0003664
