epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,8147.58,1.46304,1.31076,0.89778,0.47834,0.5294,0.50129,0.26196,1.491,1.2806,0.88394,0.0004654,0.0004654,0.0004654
56,8293.68,1.46177,1.31664,0.89578,0.44558,0.56156,0.48647,0.25363,1.49048,1.26524,0.88343,0.0004555,0.0004555,0.0004555
57,8439.51,1.45027,1.30344,0.89417,0.45185,0.57338,0.50054,0.25711,1.52295,1.27525,0.8878,0.0004456,0.0004456,0.0004456
58,8585.55,1.45936,1.31504,0.89737,0.48877,0.55362,0.49616,0.25936,1.48258,1.25944,0.88278,0.0004357,0.0004357,0.0004357
59,8731.31,1.44838,1.27988,0.89591,0.45007,0.55693,0.49687,0.25942,1.46999,1.2618,0.88157,0.0004258,0.0004258,0.0004258
60,8876.61,1.43348,1.28424,0.89025,0.45332,0.56824,0.4946,0.25911,1.48056,1.26177,0.88262,0.0004159,0.0004159,0.0004159
61,9022.78,1.44541,1.28338,0.89516,0.44895,0.57307,0.49159,0.25468,1.50788,1.25393,0.88619,0.000406,0.000406,0.000406
62,9168.9,1.45155,1.29787,0.89231,0.45825,0.54254,0.49132,0.25986,1.44641,1.25587,0.87859,0.0003961,0.0003961,0.0003961
63,9315.16,1.44751,1.2931,0.89343,0.4498,0.54234,0.48712,0.25643,1.46663,1.25478,0.88036,0.0003862,0.0003862,0.0003862
64,9461.75,1.44637,1.2678,0.89296,0.46352,0.57163,0.48939,0.25688,1.48686,1.26107,0.88376,0.0003763,0.0003763,0.0003763
65,9608.25,1.44901,1.27701,0.89324,0.43569,0.55843,0.48318,0.25487,1.50022,1.26317,0.88514,0.0003664,0.0003664,0.0003664
66,9754.29,1.44725,1.25948,0.8905,0.43955,0.5747,0.49021,0.2595,1.45341,1.25736,0.87931,0.0003565,0.0003565,0.0003565
67,9900.76,1.44069,1.27178,0.89413,0.46106,0.55483,0.49114,0.25767,1.47417,1.25147,0.88139,0.0003466,0.0003466,0.0003466
68,10047.2,1.43009,1.2626,0.89134,0.44905,0.56634,0.49416,0.25819,1.49907,1.25847,0.88509,0.0003367,0.0003367,0.0003367
69,10194,1.44001,1.2521,0.89429,0.48794,0.54793,0.49302,0.25913,1.49638,1.26504,0.8844,0.0003268,0.0003268,0.0003268
70,10340.5,1.42452,1.2634,0.88926,0.4441,0.54217,0.48529,0.25668,1.49221,1.25643,0.88365,0.0003169,0.0003169,0.0003169
